@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute outputs-1 {0,1,2}

@data
36,'2023/05/29 15:35:00:054',2,0.637258,0.331198,0.573963,0.356981,0.62877,0.297058,0.56513,0.444243,0.718353,0.292482,0.675271,0.544804,0.81915,0.369769,0.781488,0.586582,0.863009,0.551659,0.729963,0.535089,0.774511,0.571666,0.798596,0.770404,0.82049,0.593239,0.863981,0.564597,0.865338,0.319729,0.812027,0.569351,0.811839,0.345887,?
37,'2023/05/29 15:35:00:172',2,0.637258,0.331198,0.573963,0.356981,0.62877,0.297058,0.56513,0.444243,0.718353,0.292482,0.675271,0.544804,0.81915,0.369769,0.781488,0.586582,0.863009,0.551659,0.729963,0.535089,0.774511,0.571666,0.798596,0.770404,0.82049,0.593239,0.863981,0.564597,0.865338,0.319729,0.812027,0.569351,0.811839,0.345887,?
38,'2023/05/29 15:35:00:282',2,0.637658,0.33513,0.576566,0.363782,0.62813,0.300849,0.568052,0.446654,0.715023,0.299701,0.676944,0.543185,0.804861,0.388892,0.790098,0.584217,0.855957,0.54363,0.731311,0.537414,0.775257,0.574681,0.797693,0.76972,0.81862,0.635624,0.861976,0.533343,0.865232,0.296488,0.814063,0.559517,0.821971,0.368144,?
39,'2023/05/29 15:35:00:393',2,0.638091,0.340434,0.575889,0.368982,0.632455,0.305973,0.563935,0.450891,0.717075,0.303955,0.679135,0.56103,0.817438,0.388554,0.776638,0.595176,0.855952,0.554886,0.717566,0.532207,0.772997,0.575256,0.796235,0.786726,0.816452,0.667816,0.806549,0.843094,0.864719,0.324431,0.834001,0.586278,0.828497,0.372382,?
40,'2023/05/29 15:35:00:524',2,0.639042,0.34421,0.579675,0.365612,0.628971,0.305882,0.565116,0.44783,0.704243,0.292123,0.67566,0.551826,0.803988,0.366797,0.800127,0.58374,0.857273,0.556869,0.729156,0.538988,0.783218,0.580386,0.792338,0.770447,0.832058,0.62285,0.819859,0.812562,0.852222,0.360731,0.835652,0.583623,0.832549,0.344682,?
41,'2023/05/29 15:35:00:639',2,0.64645,0.351989,0.587623,0.379316,0.644839,0.309738,0.573285,0.461674,0.718915,0.305182,0.680131,0.550082,0.822523,0.37167,0.77997,0.589093,0.863139,0.558886,0.657927,0.483416,0.77855,0.574996,0.807907,0.754924,0.855524,0.600878,0.80757,0.827922,0.863054,0.363252,0.811806,0.571445,0.833868,0.341899,?
42,'2023/05/29 15:35:00:758',2,0.639956,0.355357,0.572275,0.386073,0.632586,0.317927,0.557485,0.46187,0.719144,0.310719,0.678057,0.558527,0.821774,0.388378,0.798373,0.587038,0.858666,0.563617,0.74199,0.56379,0.766624,0.573571,0.783916,0.790521,0.837164,0.671639,0.808596,0.838579,0.863544,0.321117,0.833088,0.584749,0.82318,0.373517,?
43,'2023/05/29 15:35:00:875',2,0.641261,0.360326,0.577489,0.390611,0.635055,0.321146,0.559093,0.474995,0.715006,0.317873,0.680423,0.590074,0.823576,0.39,0.852846,0.581282,0.86317,0.559358,0.737805,0.552184,0.820305,0.567812,0.812753,0.843155,0.850387,0.709082,0.814749,0.841228,0.867133,0.311674,0.85542,0.777256,0.815657,0.377096,?
44,'2023/05/29 15:35:00:988',2,0.633495,0.365658,0.568964,0.392177,0.630426,0.32196,0.552126,0.476389,0.71286,0.318875,0.676661,0.565829,0.820253,0.391956,0.790227,0.584419,0.860334,0.564963,0.74675,0.56692,0.765118,0.574137,0.774831,0.787076,0.814522,0.694262,0.81356,0.836741,0.859132,0.288417,0.832814,0.583632,0.813825,0.381711,?
45,'2023/05/29 15:35:01:100',2,0.63377,0.367102,0.570756,0.393494,0.629774,0.324798,0.55335,0.477092,0.702059,0.312584,0.67494,0.559205,0.804226,0.41017,0.785422,0.582464,0.861659,0.561356,0.731971,0.553268,0.763938,0.5761,0.778096,0.789607,0.833404,0.662833,0.816439,0.826226,0.854903,0.293076,0.814785,0.56718,0.813145,0.376618,?
46,'2023/05/29 15:35:01:223',2,0.63487,0.367554,0.572023,0.396049,0.627894,0.323414,0.559575,0.484276,0.701459,0.312643,0.678744,0.578603,0.8209,0.407852,0.786085,0.588816,0.865129,0.568088,0.75936,0.580758,0.815866,0.572764,0.806168,0.824814,0.851122,0.670988,0.81835,0.85442,0.859415,0.243466,0.858974,0.75753,0.815008,0.405422,?
47,'2023/05/29 15:35:01:329',2,0.62758,0.371263,0.565587,0.39782,0.624508,0.327028,0.543654,0.482577,0.69583,0.320671,0.657224,0.56717,0.806337,0.410748,0.774118,0.585476,0.860784,0.566818,0.736196,0.569014,0.764373,0.582744,0.803834,0.780725,0.849435,0.661914,0.816258,0.838033,0.853887,0.307427,0.812486,0.580295,0.818748,0.382357,?
48,'2023/05/29 15:35:01:445',2,0.623989,0.369118,0.560551,0.393437,0.61747,0.328449,0.536248,0.471569,0.680774,0.320079,0.673474,0.558882,0.789818,0.386938,0.785901,0.584724,0.862008,0.549375,0.728862,0.553028,0.771651,0.573802,0.813356,0.783742,0.866489,0.641026,0.806113,0.83566,0.853185,0.365032,0.817393,0.56778,0.791559,0.341594,?
49,'2023/05/29 15:35:01:568',2,0.623989,0.369118,0.560551,0.393437,0.61747,0.328449,0.536248,0.471569,0.680774,0.320079,0.673474,0.558882,0.789818,0.386938,0.785901,0.584724,0.862008,0.549375,0.728862,0.553028,0.771651,0.573802,0.813356,0.783742,0.866489,0.641026,0.806113,0.83566,0.853185,0.365032,0.817393,0.56778,0.791559,0.341594,?
50,'2023/05/29 15:35:01:681',2,0.616936,0.373949,0.564817,0.396844,0.61261,0.331311,0.549473,0.484258,0.675622,0.324382,0.66152,0.5537,0.784657,0.409832,0.798808,0.578409,0.856109,0.569591,0.742972,0.559155,0.765233,0.567989,0.776454,0.769326,0.790984,0.606604,0.817653,0.826336,0.831443,0.340039,0.820347,0.553828,0.774773,0.340769,?
51,'2023/05/29 15:35:01:812',2,0.606443,0.391401,0.546641,0.421243,0.599493,0.345442,0.533972,0.500419,0.67707,0.3217,0.642155,0.572377,0.787842,0.390612,0.761732,0.576679,0.860891,0.564058,0.759369,0.568271,0.765106,0.566971,0.770437,0.76284,0.809012,0.639411,0.815548,0.85575,0.83691,0.383223,0.821736,0.557025,0.79029,0.352302,?
52,'2023/05/29 15:35:01:932',2,0.607451,0.389587,0.538687,0.42597,0.601582,0.3358,0.541078,0.508971,0.67374,0.325266,0.681705,0.599064,0.783022,0.407744,0.858984,0.591279,0.861487,0.576177,0.749889,0.567102,0.758456,0.565437,0.785832,0.809808,0.823948,0.67344,0.824422,0.872973,0.863178,0.3707,0.821958,0.571553,0.773143,0.352684,?
53,'2023/05/29 15:35:02:058',2,0.607717,0.3983,0.539991,0.434146,0.601614,0.348981,0.543061,0.510611,0.666448,0.321693,0.64283,0.569554,0.783633,0.409276,0.783226,0.577652,0.859861,0.571573,0.76208,0.575416,0.780397,0.574888,0.824214,0.81746,0.76791,0.600777,0.814189,0.839423,0.851921,0.410319,0.821446,0.557031,0.811647,0.387149,?
54,'2023/05/29 15:35:02:170',2,0.61238,0.386546,0.542165,0.417651,0.608127,0.336668,0.531626,0.502704,0.675273,0.322442,0.658624,0.590952,0.801068,0.427422,0.784653,0.582685,0.864425,0.56625,0.749183,0.570254,0.759983,0.570142,0.790982,0.822402,0.826832,0.696083,0.817139,0.856651,0.850683,0.38731,0.822003,0.5587,0.777468,0.357508,?
55,'2023/05/29 15:35:02:295',2,0.616248,0.380956,0.556123,0.403682,0.614456,0.332286,0.535363,0.488604,0.679162,0.317497,0.658317,0.559933,0.786033,0.404726,0.780291,0.579866,0.865475,0.564058,0.763928,0.577211,0.770313,0.570534,0.791123,0.781427,0.814437,0.662557,0.816402,0.839088,0.852014,0.407091,0.817288,0.569948,0.769185,0.354596,?
56,'2023/05/29 15:35:02:412',2,0.612993,0.376979,0.55527,0.400143,0.6145,0.331916,0.530973,0.479822,0.691597,0.32476,0.637632,0.567845,0.800562,0.406095,0.755019,0.579089,0.873479,0.568678,0.75389,0.573255,0.764165,0.571569,0.789609,0.78226,0.816682,0.667246,0.812531,0.835073,0.848217,0.411699,0.759322,0.583473,0.770845,0.349784,?
57,'2023/05/29 15:35:02:517',2,0.615421,0.378432,0.55303,0.4054,0.611447,0.331342,0.535168,0.491979,0.679283,0.318864,0.642387,0.573265,0.800768,0.408029,0.774042,0.584376,0.870154,0.573225,0.747788,0.571443,0.759967,0.571288,0.78374,0.798945,0.813615,0.66883,0.817655,0.837037,0.853438,0.408758,0.813816,0.576869,0.77466,0.346482,?
58,'2023/05/29 15:35:02:630',2,0.612858,0.380627,0.551745,0.407369,0.612836,0.332034,0.533845,0.494946,0.676669,0.318054,0.655103,0.55979,0.769773,0.425555,0.762863,0.578862,0.858355,0.569204,0.756719,0.575464,0.759275,0.573529,0.821258,0.823825,0.815226,0.68863,0.830734,0.821635,0.831066,0.387792,0.816977,0.577035,0.778589,0.347692,?
59,'2023/05/29 15:35:02:748',2,0.605255,0.396286,0.53753,0.431474,0.601899,0.346481,0.539085,0.509361,0.67867,0.317434,0.673824,0.559335,0.802797,0.413286,0.784825,0.58076,0.863861,0.57224,0.748066,0.566061,0.775894,0.57485,0.757867,0.78309,0.794027,0.672261,0.821751,0.864504,0.849334,0.410244,0.82029,0.574527,0.77756,0.348337,?
60,'2023/05/29 15:35:02:868',2,0.604518,0.391891,0.537048,0.423753,0.600973,0.34573,0.531562,0.500722,0.678355,0.318234,0.669852,0.558001,0.801265,0.407654,0.758511,0.579823,0.862231,0.560366,0.759612,0.580757,0.767581,0.569919,0.813461,0.841973,0.79391,0.663244,0.826944,0.84233,0.850949,0.410303,0.80933,0.573464,0.773698,0.345519,?
61,'2023/05/29 15:35:23:940',3,0.624188,0.730291,0.620399,0.767879,0.571797,0.712087,0.676976,0.779759,0.541372,0.634694,0.74285,0.727227,0.663072,0.471475,0.860484,0.743421,0.760964,0.565104,0.681825,0.715274,0.64944,0.726871,0.776869,0.418197,0.748234,0.181865,0.693989,0.594676,0.815268,0.418532,0.812775,0.529669,0.832395,0.409084,?
